record_id,material_name,known_evidence_records_raw,unique_positive_h3_cells,positive_h3_r3_groups,positive_emag_valid_cells,positive_emag_valid_rate,background_cells_sampled,background_emag_valid_rate,spatial_cv_folds,oof_positive_rows,oof_background_rows,baseline_roc_auc,emag_roc_auc,delta_roc_auc,delta_roc_auc_group_bootstrap_ci95_low,delta_roc_auc_group_bootstrap_ci95_high,baseline_average_precision,emag_average_precision,delta_average_precision,baseline_recall_at_background_top5pct,emag_recall_at_background_top5pct,delta_recall_at_background_top5pct,baseline_brier_score,emag_brier_score,folds_with_positive_auc_gain,folds_with_negative_auc_gain,minimum_test_positive_to_training_positive_km,admission_gate_result,emag_feature_admission_decision,decision_reason,production_scoring_status,candidate_scores_recomputed,experiment_version,background_interpretation,baseline_features_json,emag_features_json
EMAG2-ABL-LITHIUM,Lithium,1,1,1,1,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-MOLYBDENUM,Molybdenum,4,4,4,4,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-NIOBIUM,Niobium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-NICKEL,Nickel,7,7,6,7,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-PLATINUM-GROUP-ELEMENTS,Platinum-group elements,8,8,8,7,0.87500000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-PHOSPHORUS,Phosphorus,85,70,38,70,1.00000000,2100,0.95047619,5,70,2100,0.73429252,0.73965306,0.00536054,-0.04238437,0.04270595,0.07620240,0.08356215,0.00735975,0.14285714,0.18571429,0.04285714,0.09971148,0.10400681,5,0,56.61463862,False,not_admitted_inconclusive_or_below_threshold,one_or_more_predefined_admission_gates_failed,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-POTASH,Potash,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-RARE-EARTH-ELEMENTS,Rare-earth elements,9,5,5,5,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-RHENIUM,Rhenium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-SILICON,Silicon,110,93,50,93,1.00000000,2790,0.94838710,5,93,2790,0.74864146,0.78384784,0.03520638,-0.01078546,0.07059821,0.07827538,0.13295355,0.05467817,0.19354839,0.29032258,0.09677419,0.10724628,0.11367106,4,1,52.05613767,False,not_admitted_inconclusive_or_below_threshold,one_or_more_predefined_admission_gates_failed,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-STRONTIUM,Strontium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-TANTALUM,Tantalum,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-TELLURIUM,Tellurium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
