gap_id,gap_level,gap_categories_json,evidence_family,affected_source_id,affected_artifacts_json,geographic_scope,temporal_scope,gap_description,quantitative_evidence,scientific_or_operational_impact,current_mitigation,resolution_evidence_required,model_effect,alpha3_completion_effect,status,provenance_basis
GAP-PROJECT-011,project_wide,"[""administrative_vintage"",""demographics""]",population and demographics,,"[""india_known_mining_sites.csv"",""india_mining_prospectivity_grid_h3_r6.csv"",""india_ibm_district_mineral_context_h3_r6.csv""]",India; 2011 district boundaries,2011 Census and 2020 WorldPop,"Administrative boundaries, Census demographics, and gridded population have different reference years and do not capture later boundary or population change.",2011 district joins cover 99.985% of grid cells; population join is complete for the 2020 grid.,Demographic context is approximate for current planning and must not be treated as a geological cause.,"Reference years, codes, join status, and aggregate-only interpretation remain explicit.",New authoritative Census/boundary releases and documented crosswalks when publicly available.,Population and demographics are contextual and not mineral-causation labels.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/validation_report.json
GAP-PROJECT-012,project_wide,"[""weather"",""temporal_coverage""]",weather and climate,,"[""india_known_mining_sites.csv"",""india_mining_prospectivity_grid_h3_r6.csv""]",National H3 grid,2025-09-01 to 2026-08-31 rolling window,The weather layer is one complete rolling twelve-month period rather than a long-term climatology or future projection.,365 expected days and 100% complete-period rate.,"One year cannot represent long-run variability, extremes, or future operational conditions.","Exact period, day count, completeness, and monthly values remain published.","Multi-decadal normals, extremes, and time-updated observations with stable versioning.",Weather remains context; it is not direct mineral evidence.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/nasa_power_rolling_12m_validation.json
GAP-PROJECT-013,project_wide,"[""ecology"",""feature_absence""]",vegetation and agriculture,,"[""india_sentinel2_surface_context_h3_r6.csv""]",India,Not implemented beyond broad two-season surface classes,"Crop calendars, phenology, moisture stress, thermal anomalies, and India-specific vegetation mechanisms are not yet integrated.",No dedicated ecological table or production predictor.,The requested ecological context is incomplete and cannot support causal claims.,No values are fabricated; the missing family is explicitly registered.,"Reusable crop, land-cover, phenology, moisture, and thermal evidence plus mechanism-aware spatial ablation.",No ecological signal affects scoring.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,README feature-readiness table and roadmap
GAP-PROJECT-014,project_wide,"[""hydrology"",""feature_absence""]",hydrology and groundwater,,[],India,Not implemented,"Drainage, watersheds, erosion, groundwater chemistry, and surface-water context are not integrated.",No dedicated hydrology table.,Transport pathways and water constraints cannot be evaluated nationally.,The absent family is disclosed rather than imputed.,"Reusable catchment, groundwater, surface-water, erosion, and chemistry layers with provenance and validation.",No hydrological feature affects scoring.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,README feature-readiness table and roadmap
GAP-PROJECT-015,project_wide,"[""environmental_safeguards"",""archaeology"",""tenure"",""infrastructure""]",responsible opportunity constraints,,[],India,Not implemented,"Protected areas, forests, water stress, archaeological/cultural sites, tenure, communities, roads, rail, ports, power, and processing infrastructure are not yet assembled as exclusion/caution layers.",No operational field-prioritization or permission product is published.,"Model candidates cannot support access, permitting, investment, or operational recommendations.",README and model limitations prohibit operational interpretation.,"Authoritative, current legal/environmental/cultural/social/infrastructure layers plus expert and community review protocol.",Candidates remain reconnaissance hypotheses only.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,README Phase 7 and project guardrails
GAP-PROJECT-016,project_wide,"[""model_form"",""deposit_type""]",prospectivity modeling,,"[""india_mining_prospectivity_grid_h3_r6.csv"",""india_mining_candidate_areas_validation_gated.csv""]",India,Model v0.6,Current material screens are generic and are not deposit-type or geological-process models.,50 retained targets; only 14 meet the current minimum holdout AUC gate; high-priority outputs occur for chromium and iron.,A high index may reflect broad association rather than a specific mineral system.,"Support levels, spatial metrics, nearest-evidence distances, and model limitations remain row-visible.","Deposit-type labels, process features, calibrated baselines, independent deposits, and time-split evaluation.",Existing rankings remain explicitly uncalibrated reconnaissance indices.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/validation_report.json and docs/methodology.md
GAP-PROJECT-017,project_wide,"[""public_distribution"",""file_size""]",release distribution,,"[""india_mining_prospectivity_grid_h3_r6.csv""]",National H3 grid,Alpha.24 snapshot,The full national CSV exceeds GitHub's normal single-file limit and is not stored as a standalone tracked file.,"88,857 rows and 187 columns; included inside the public deterministic ZIP bundle.",Direct row-level Git browsing of the full grid is unavailable.,"The bundle, checksums, candidate subset, data dictionary, and build scripts remain public.","A durable large-object, GeoParquet, object-storage, or versioned data-release endpoint.",No scientific result changes; this is an access-format limitation.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/README.md and scripts/build_release.py
GAP-PROJECT-018,project_wide,"[""field_verification"",""ground_truth""]",field verification,,"[""india_mining_candidate_areas_validation_gated.csv""]",All candidate cells,No KHANAN field campaign,"No KHANAN candidate has been verified by mapping, sampling, drilling, laboratory assay, resource estimation, or competent-person review.","2,784 candidate cells; zero field-verified discoveries claimed.","Model hypotheses cannot be described as finds, deposits, resources, reserves, grades, or drill targets.",Every public interpretation repeats the reconnaissance-only boundary.,"Independent permitted fieldwork, QA/QC assays, drilling where lawful, geological interpretation, and qualified review.",No candidate is labeled as a discovery.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,"README, outputs/validation_report.json, and candidate model_limitations"
GAP-PROJECT-019,project_wide,"[""material_quantity"",""grade"",""economics""]",resource and economic assessment,,"[""india_ibm_nmi_2025_resource_inventory.csv"",""india_mining_candidate_areas_validation_gated.csv""]",India and aggregates,Mixed,"KHANAN does not estimate candidate-cell tonnage, grade, recovery, cut-off, processing route, cost, price, or economic viability.",IBM quantities remain national/state/grade aggregates; candidate rows contain no inferred resource or reserve quantity.,"Rankings cannot support valuation, feasibility, reserve reporting, or investment decisions.",Source aggregates and hypotheses are stored in separate tables with explicit units and exclusions.,"Site-specific qualified exploration, QA/QC, resource modeling, metallurgy, environmental review, and economic studies.",The model produces only relative screening indices.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/ibm_nmi_2025_extraction_validation.json and outputs/validation_report.json
GAP-PROJECT-020,project_wide,"[""licensing"",""reuse""]",cross-source release licensing,,"[""source_registry.csv"",""release_artifact_manifest.csv""]",All release artifacts,Alpha.24 snapshot,Source licences and access terms vary; several publicly queryable government or hosted services do not provide a blanket redistribution licence for every underlying value.,38 source-registry entries with source-specific licence/access notes.,Users cannot assume one uniform licence applies to every upstream dataset.,"The release publishes derived data where justified, withholds restricted/unclear feature values, and carries source-specific notes into the manifest.",Dataset-specific provider terms or permissions sufficient for the intended redistribution and reuse.,Unclear-source values remain metadata-only or excluded.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/source_registry.csv and docs/ngdr_access_and_integration.md
GAP-SOURCE-AP_PRAKASAM_JSW_IRON_BLOCK_STATUS_2026,source_specific,"[""licensing"",""coordinate_or_geometry"",""temporal_currency"",""method_or_unit_metadata""]","Official secondary evidence for the areas, status summaries, common milestones and drilling progress of Addankivaripalem, Lakshmakapalle North and Lakshmakapalle South.",SRC_AP_PRAKASAM_JSW_IRON_BLOCK_STATUS_2026,"[""india_ibm_auctioned_concession_status_evidence_2023_24.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,page last updated 2026-09-02,The page is not the controlling licence instrument and publishes no block coordinates. Shared milestone rows are scoped to the named three-block JSW section; only two blocks have block-specific Form-C dates.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_AP_PRAKASAM_JSW_IRON_BLOCK_STATUS_2026
GAP-SOURCE-CENSUS_A01_2011,source_specific,"[""licensing"",""geographic_coverage""]",Census 2011 district area and population density.,SRC_CENSUS_A01_2011,"[""india_known_mining_sites.csv"",""india_mining_candidate_areas_validation_gated.csv"",""india_mining_prospectivity_grid_h3_r6.csv"",""india_strategic_materials_top50.csv"",""material_emag2_spatial_ablation.csv"",""material_emag2_spatial_ablation_folds.csv"",""material_model_support.csv"",""material_model_validation.csv"",""material_official_block_transfer_validation.csv"",""material_sentinel2_spatial_ablation.csv"",""material_sentinel2_spatial_ablation_folds.csv"",""material_soilgrids_spatial_ablation.csv"",""material_soilgrids_spatial_ablation_folds.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2011,2011 administrative geography.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_CENSUS_A01_2011
GAP-SOURCE-CENSUS_PCA_2011,source_specific,"[""licensing"",""geographic_coverage"",""temporal_currency"",""completeness""]","District population, households, sex, ages 0-6, Scheduled Caste/Tribe, literacy, and work participation.",SRC_CENSUS_PCA_2011,"[""india_known_mining_sites.csv"",""india_mining_candidate_areas_validation_gated.csv"",""india_mining_prospectivity_grid_h3_r6.csv"",""india_strategic_materials_top50.csv"",""material_emag2_spatial_ablation.csv"",""material_emag2_spatial_ablation_folds.csv"",""material_model_support.csv"",""material_model_validation.csv"",""material_official_block_transfer_validation.csv"",""material_sentinel2_spatial_ablation.csv"",""material_sentinel2_spatial_ablation_folds.csv"",""material_soilgrids_spatial_ablation.csv"",""material_soilgrids_spatial_ablation_folds.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2011,2011 reference geography and population; not a current population count.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_CENSUS_PCA_2011
GAP-SOURCE-COPERNICUS_SENTINEL2_L2A_PC,source_specific,"[""licensing"",""temporal_currency"",""method_or_unit_metadata"",""legal_or_operational_status"",""model_interpretation""]",Two fixed 2025 seasonal surface-context snapshots. One selected scene per India-relevant MGRS tile and season; native 20 m SCL plus six BOA-reflectance bands summarized at all 49 H3 r8 child centroids of each H3 r6 cell.,SRC_COPERNICUS_SENTINEL2_L2A_PC,"[""material_sentinel2_spatial_ablation.csv"",""material_sentinel2_spatial_ablation_folds.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2025 fixed seasonal observations; catalog accessed 2026-09-10,"Multispectral surface reflectance is affected by vegetation, soil moisture, atmosphere, season, land use, mixed pixels, cloud masking and scene selection. The broad indices and ratios are non-specific surface proxies, not mineral identification, subsurface evidence, a discovery, grade, resource, reserve or permission to explore. All features are excluded from production scoring pending spatial ablation.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_COPERNICUS_SENTINEL2_L2A_PC
GAP-SOURCE-DATAMEET_DISTRICTS_2011,source_specific,"[""geographic_coverage"",""coordinate_or_geometry"",""method_or_unit_metadata""]",Spatial assignment to 2011 Census districts.,SRC_DATAMEET_DISTRICTS_2011,"[""india_known_mining_sites.csv"",""india_mining_candidate_areas_validation_gated.csv"",""india_mining_prospectivity_grid_h3_r6.csv"",""india_strategic_materials_top50.csv"",""material_emag2_spatial_ablation.csv"",""material_emag2_spatial_ablation_folds.csv"",""material_model_support.csv"",""material_model_validation.csv"",""material_official_block_transfer_validation.csv"",""material_sentinel2_spatial_ablation.csv"",""material_sentinel2_spatial_ablation_folds.csv"",""material_soilgrids_spatial_ablation.csv"",""material_soilgrids_spatial_ablation_folds.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,repository accessed 2026-09-09,Community-derived boundary data; known shifts and geometry imperfections are documented by DataMeet.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_DATAMEET_DISTRICTS_2011
GAP-SOURCE-DATAMEET_INDIA_BOUNDARY,source_specific,"[""geographic_coverage"",""coordinate_or_geometry"",""completeness""]",Nationwide H3 grid generation.,SRC_DATAMEET_INDIA_BOUNDARY,"[""india_known_mining_sites.csv"",""india_mining_candidate_areas_validation_gated.csv"",""india_mining_prospectivity_grid_h3_r6.csv"",""india_strategic_materials_top50.csv"",""material_emag2_spatial_ablation.csv"",""material_emag2_spatial_ablation_folds.csv"",""material_model_support.csv"",""material_model_validation.csv"",""material_official_block_transfer_validation.csv"",""material_sentinel2_spatial_ablation.csv"",""material_sentinel2_spatial_ablation_folds.csv"",""material_soilgrids_spatial_ablation.csv"",""material_soilgrids_spatial_ablation_folds.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,repository accessed 2026-09-09,Boundary representation follows the cited India-source convention; H3 center containment creates partial coastal cells.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_DATAMEET_INDIA_BOUNDARY
GAP-SOURCE-EARTHCHEM_ECL_4498_DUTT_2026,source_specific,"[""licensing"",""geographic_coverage"",""coordinate_or_geometry"",""method_or_unit_metadata"",""completeness"",""model_interpretation""]","Independent geochemical context: 13 GPS-linked samples at two coordinate sites, whole-rock major and trace chemistry, Sr-Nd isotopes, in-situ mineral chemistry, analytical methods, reference materials and procedural blanks.",SRC_EARTHCHEM_ECL_4498_DUTT_2026,"[""source_registry.csv""]",Source-defined; see source title and affected artifacts.,Version 1.0; created 2026-06-10; published 2026-06-11,"Targeted petrological samples are not a systematic regional survey and do not establish a mine, deposit, reserve, discovery, grade continuity or economic viability. The source sample table does not assign its dataset-level rock classes to individual IDs; coordinate datum/accuracy and numerical detection limits are not reported. The source note for NA is semantically unresolved, one method code conflicts across sheets, and the in-situ 1mm beam-diameter text is retained verbatim. All rows are excluded from v0.6 training and validation pending spatially independent evaluation.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_EARTHCHEM_ECL_4498_DUTT_2026
GAP-SOURCE-ESRI_INDIA_GEOLOGY,source_specific,"[""licensing"",""geographic_coverage"",""coordinate_or_geometry"",""method_or_unit_metadata""]","Geological age, supergroup, group, and stratigraphy sampled at H3 cell centroids.",SRC_ESRI_INDIA_GEOLOGY,"[""india_known_mining_sites.csv"",""india_mining_candidate_areas_validation_gated.csv"",""india_mining_prospectivity_grid_h3_r6.csv"",""india_strategic_materials_top50.csv"",""material_emag2_spatial_ablation.csv"",""material_emag2_spatial_ablation_folds.csv"",""material_model_support.csv"",""material_model_validation.csv"",""material_official_block_transfer_validation.csv"",""material_sentinel2_spatial_ablation.csv"",""material_sentinel2_spatial_ablation_folds.csv"",""material_soilgrids_spatial_ablation.csv"",""material_soilgrids_spatial_ablation_folds.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,service accessed 2026-09-09,Service metadata does not identify polygon provenance or license; map-unit scale and positional accuracy are not stated.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_ESRI_INDIA_GEOLOGY
GAP-SOURCE-GSI_DATA_SHARING_POLICY_2019,source_specific,"[""licensing"",""source_access"",""temporal_currency"",""legal_or_operational_status""]","Controls KHANAN's access, attribution, caching, redistribution, and derivative-data decision for NGDR/GSI evidence.",SRC_GSI_DATA_SHARING_POLICY_2019,"[""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2019; audited 2026-09-10,"KHANAN does not provide legal advice. Applicability can depend on access class, dataset, user category, agreement, and current portal terms.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_GSI_DATA_SHARING_POLICY_2019
GAP-SOURCE-GSI_NGDR_GUEST_OGC_CATALOG,source_specific,"[""licensing"",""source_access"",""temporal_currency"",""method_or_unit_metadata"",""completeness"",""legal_or_operational_status"",""model_interpretation""]","Metadata-only audit of authoritative mineral, geochemistry, geophysics, soil, lithology, and geology layers. No raw feature values are published or used in scoring in this release.",SRC_GSI_NGDR_GUEST_OGC_CATALOG,"[""ngdr_service_inventory.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,live service; audited 2026-09-10,"Live service content can change. Analytical units, methods, detection limits, scale, and redistribution status are not sufficiently established for model integration from service schemas alone.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_GSI_NGDR_GUEST_OGC_CATALOG
GAP-SOURCE-GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013,source_specific,"[""licensing"",""source_access"",""geographic_coverage"",""temporal_currency"",""completeness"",""model_interpretation""]","Authoritative preview-limited deposit locality, state, toposheet, coordinate, commodity, host-rock, morphogenesis, formation and metallogenic context; source-access completeness audit.",SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013,"[""gsi_ogd_mineral_deposit_catalog_audit.csv"",""india_gsi_ogd_mineral_deposit_preview.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,published 2013; resources updated 2014-04-17; accessed 2026-09-10,"The eight catalogs report 381 rows, but the public preview returned only 78 first rows and is not random. The full workbooks were not acquired automatically because downloads are CAPTCHA-gated. Catalogs are historical and not proven independent of MRDS or prior geological knowledge; all rows are excluded from model training, validation, scoring and candidate promotion.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013
