artifact_id,relative_path,artifact_type,release_version,schema_version,evidence_role,role_definition,model_use_status,row_grain,primary_key_columns_json,primary_key_unique,primary_key_blank_rows,row_count,column_count,schema_sha256,artifact_sha256,artifact_sha256_status,source_ids_json,geographic_scope,temporal_scope,coordinate_or_geometry_fields_json,uncertainty_fields_json,exclusion_or_quality_fields_json,license_or_access_basis,schema_freeze_status,schema_change_policy,build_script,validation_artifact,limitations
india_ibm_auctioned_concession_mbs_match_audit_2023_24,outputs/india_ibm_auctioned_concession_mbs_match_audit_2023_24.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-7c52ac748509,validation_evidence,"Holdout, ablation, transfer, support, or quality-control evidence used to evaluate a model or source family.",source_geometry_audit_only,One IBM auction row and its reviewed State MBS selection outcome.,"[""record_id""]",true,0,97,48,7c52ac748509382a5515c115441fa336a52a945ed5f4a0a8952f6ae0be050cac,5eb1373ceae67c7093372bf51750fdccca201e72f6272f5ebc9e96efa7dd0a7c,computed_from_release_artifact_bytes,[],Ten relevant States,IBM 2023-24 table and portal snapshot,"[""geometry_admission_status"",""geometry_admission_reason""]",[],"[""document_match_status"",""coordinate_review_flags_json"",""geometry_admission_status"",""geometry_admission_reason"",""current_legal_or_operational_status_verified"",""model_exclusion_reason""]","{""KHANAN_DERIVED"":""Release metadata derived from the versioned public artifacts; upstream source terms remain controlling.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_auction_mbs_geometry_2023_24.py,outputs/ibm_auction_mbs_geometry_validation.json,Twenty-five selected documents are withheld and five Andhra rows lack an exact current public boundary match.
india_ibm_auctioned_concession_status_evidence_2023_24,outputs/india_ibm_auctioned_concession_status_evidence_2023_24.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-14e9ff61ed64,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",context_only_no_geometry,One block and dated official-secondary status evidence record.,"[""record_id""]",true,0,5,35,14e9ff61ed649e0c0164048131adceba6c765132aa5dd4dbe9c674cd60db84f0,5855ba7ffc5743e47739508757dc582e1351bd89343b4518836f056d2128fe33,computed_from_release_artifact_bytes,"[""SRC_AP_PRAKASAM_JSW_IRON_BLOCK_STATUS_2026"",""SRC_MINES_NMMC_AUCTION_OPERATIONALIZATION_JAN2025""]",Andhra Pradesh; five IBM rows,Dated source snapshots through 2026,"[""geometry_published""]",[],"[""auction_date_status_source"",""ibm_to_status_source_area_difference_pct"",""source_status_summary"",""status_events_json"",""status_evidence_level"",""official_status_source_id"",""current_legal_or_operational_status_verified"",""model_exclusion_reason"",""quality_flags_json""]","{""SRC_AP_PRAKASAM_JSW_IRON_BLOCK_STATUS_2026"":""Government public webpage; retain attribution and verify current site reuse terms."",""SRC_MINES_NMMC_AUCTION_OPERATIONALIZATION_JAN2025"":""Government public presentation; retain attribution and verify current website reuse terms.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_auction_status_evidence_2023_24.py,outputs/ibm_auction_status_evidence_2023_24_validation.json,Historical events do not prove current legal or operational status.
india_ibm_auctioned_mineral_concessions_2023_24,outputs/india_ibm_auctioned_mineral_concessions_2023_24.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-f18a812591bb,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",context_only,One IBM 2023-24 auction-granted concession row.,"[""record_id""]",true,0,97,36,f18a812591bb297e979a3d70f78c0bbbb6c650e9d2d55794a643ea58c5ad2582,2559a4ba4a12f4c4d23f7c68a14dd812d60c4b4487b9c792cfa08318c902a234,computed_from_release_artifact_bytes,"[""SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS""]",India; State-level named blocks,2023-24 reporting year,"[""latitude"",""longitude"",""geometry_published""]",[],"[""published_status"",""published_status_scope"",""current_legal_or_operational_status_verified"",""model_exclusion_reason"",""quality_flags_json""]","{""SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS"":""Government of India public PDF; retain attribution and verify current IBM website reuse terms.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_mineral_concessions_2024.py,outputs/ibm_mineral_concessions_2024_validation.json,The compilation has no coordinates and is not a controlling current-status register.
india_ibm_district_mineral_context_h3_r6,outputs/india_ibm_district_mineral_context_h3_r6.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-531009092be9,contextual_feature,Derived spatial or environmental context excluded from production scoring unless a separate admission test passes.,excluded_from_v0.6_scoring,One H3 cell inheriting admitted 2011-district occurrence context.,"[""h3_r6""]",true,0,59872,31,531009092be94967694abb7ebd6823413c7b3f98e75852740014e2bb93883b13,a8031cb95522c27c055fffcc288547176f366822d4a1f52fb3c14e60bbf347e9,computed_from_release_artifact_bytes,"[""SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS""]",Selected 2011 districts with IBM State Review terms,IBM 2024 State Reviews; 2011 boundaries,"[""h3_r6"",""cell_centroid_latitude"",""cell_centroid_longitude""]",[],"[""context_absence_interpretation"",""data_quality_flags_json"",""limitations""]","{""SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS"":""Government of India public PDF; no blanket reuse licence asserted by KHANAN. Retain attribution and consult current IBM terms.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_imyb_state_review_occurrences.py,outputs/ibm_imyb_state_review_occurrences_validation.json,District inheritance is not an exact occurrence location or evidence of uniform mineralization.
india_ibm_district_mineral_occurrences_2024,outputs/india_ibm_district_mineral_occurrences_2024.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-67d046055ccf,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",context_crosswalk_only,One source occurrence and candidate 2011-district crosswalk.,"[""record_id""]",true,0,1742,36,67d046055ccfd534d32ae85ea65b0717c0ee7301889081206681ef375fe0ebda,9bd2fe7b13ef7bd3e79c64aaf0c90d0034f6daf6d3c558c04e4fcf29bee46011,computed_from_release_artifact_bytes,"[""SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS""]",India; 2011 district crosswalk,IBM 2024 State Reviews; mostly 2020-04-01 resource basis,"[""district_boundary_state_2011"",""district_boundary_name_2011"",""district_centroid_latitude_2011"",""district_centroid_longitude_2011"",""district_crosswalk_admitted_to_h3_context""]",[],"[""district_crosswalk_status"",""data_quality_flags_json"",""limitations""]","{""SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS"":""Government of India public PDF; no blanket reuse licence asserted by KHANAN. Retain attribution and consult current IBM terms.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_imyb_state_review_occurrences.py,outputs/ibm_imyb_state_review_occurrences_validation.json,Eight one-to-many historical district matches are withheld from H3 propagation.
india_ibm_mcdr_inspection_events_2023_2026,outputs/india_ibm_mcdr_inspection_events_2023_2026.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-06a3d8a4464b,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",context_only_no_coordinates,One IBM regional inspection-table event row.,"[""record_id""]",true,0,1504,50,06a3d8a4464b508d00f3fe146f64e987e5381c614a4a46ecbc16cf08ed4c0ddf,b27c2c7b2bcca09ee232052f40888ec3e6a2d2779d4c2f0a5daf23461bc2341b,computed_from_release_artifact_bytes,"[""SRC_IBM_MCDR_INSPECTIONS_2023_2026""]",Fourteen IBM regional offices; published district names,Fiscal years 2023-24 to 2025-26,"[""latitude"",""longitude""]",[],"[""spatial_model_integration_status""]","{""SRC_IBM_MCDR_INSPECTIONS_2023_2026"":""Government of India public webpages; retain attribution and verify current IBM website reuse terms.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_mcdr_inspections.py,outputs/ibm_mcdr_inspection_validation.json,"Inspection presence does not prove production, compliance, exact location, or current legal status."
india_ibm_mcdr_latest_inspected_mines,outputs/india_ibm_mcdr_latest_inspected_mines.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-c07eab55a51e,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",context_only_no_coordinates,One resolved mine identity retaining its latest published inspection event.,"[""record_id""]",true,0,1353,57,c07eab55a51ed59bbf532d8121f78edd8eb116661c9b00692bf9b0da2a7f86e0,c129e6651d75143b0de9a3a8e1302336cc5d24353ee882e3f61e81f28bff0c90,computed_from_release_artifact_bytes,"[""SRC_IBM_MCDR_INSPECTIONS_2023_2026""]",Fourteen IBM regional offices; published district names,Fiscal years 2023-24 to 2025-26,"[""latest_inspection_date"",""latitude"",""longitude""]",[],"[""spatial_model_integration_status""]","{""SRC_IBM_MCDR_INSPECTIONS_2023_2026"":""Government of India public webpages; retain attribution and verify current IBM website reuse terms.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_mcdr_inspections.py,outputs/ibm_mcdr_inspection_validation.json,Name/code identity resolution is incomplete and rows lack coordinates.
india_ibm_mining_lease_distribution_2024,outputs/india_ibm_mining_lease_distribution_2024.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-44703321c71d,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",aggregate_context_only,"One state, mineral, sector, or area-band lease aggregate.","[""record_id""]",true,0,123,31,44703321c71d649510d80a5c982a85f1aebaa06356849fd385167bcdccd48b24,780e9cb55e51b936c6475e4670b2c12a9a31db1de2d0b95fc5171c9a0d524784,computed_from_release_artifact_bytes,"[""SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS""]",India and State/UT aggregates,As at 2024 source reference,"[""geometry_published""]",[],"[""scope_exclusions_json"",""quality_flags_json""]","{""SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS"":""Government of India public PDF; retain attribution and verify current IBM website reuse terms.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_mineral_concessions_2024.py,outputs/ibm_mineral_concessions_2024_validation.json,Aggregates are not exact lease locations or proof of any individual lease status.
india_ibm_nmi_2025_resource_inventory,outputs/india_ibm_nmi_2025_resource_inventory.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-7e233f3f2008,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",aggregate_context_only,"One mineral, geography, grade, and UNFC aggregate row.","[""record_id""]",true,0,722,43,7e233f3f20081456e84afaed4fadde44adaa08f318476283477d624701e50dd7,aed421ee255923f10964ebac35ed94ca826e7badebc0992a5665fe0c0eac3868,computed_from_release_artifact_bytes,"[""SRC_IBM_NMI_2025""]",National and State/UT aggregates,Resources mainly as at 2020-04-01,"[""latitude"",""longitude""]","[""std111_proved"",""std121_probable"",""std122_probable"",""std211_feasibility"",""std221_prefeasibility"",""std222_prefeasibility"",""std331_measured"",""std332_indicated"",""std333_inferred"",""std334_reconnaissance"",""arithmetic_max_abs_error_source_units""]","[""arithmetic_validation_pass"",""spatial_integration_status""]","{""SRC_IBM_NMI_2025"":""Government of India publication; retain attribution and verify current IBM website reuse terms.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_nmi2025.py,outputs/ibm_nmi_2025_extraction_validation.json,Aggregate resources cannot be assigned uniformly to a state or interpreted as site-level grade.
india_ibm_state_mineral_occurrences_2024,outputs/india_ibm_state_mineral_occurrences_2024.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-54479dea824c,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",context_only,"One source region, material term, and geography-scope occurrence row.","[""record_id""]",true,0,586,28,54479dea824ceb474dd214f796e1870bb187d445215aa1f60f854a2b4c329960,98bfa77310975ceaee6488b71d03a9145f4f02890269bc002adc22fc5d7fc444,computed_from_release_artifact_bytes,"[""SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS""]",31 source regions,IBM 2024 State Reviews; mixed underlying dates,[],[],"[""source_term_validation_status"",""source_place_validation_status"",""knowledge_independence_status"",""model_exclusion_reason"",""data_quality_flags_json"",""limitations""]","{""SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS"":""Government of India public PDF; no blanket reuse licence asserted by KHANAN. Retain attribution and consult current IBM terms.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_imyb_state_review_occurrences.py,outputs/ibm_imyb_state_review_occurrences_validation.json,"Occurrence prose is not a mine, assay, reserve, legal-status, or discovery register."
